CODE;EN
HELP_HEADER;name ~t syntax ~t description ~n
HELP_FORMAT;{} ~t {} ~t {} ~n
HELP_HELP;Prints help message equal to this
HELP_DEBUG;Just a debug command for testers
HELP_LOGIN;Used to login into account or create new one
HELP_CLEAR;Clears all console outputs
HELP_LANG;Changes current language. To get all languages use "lang"
HELP_EMAIL;Adds mail to your account
HELP_STATUS;Displays the player's status. Use "self" as name to show your status
HELP_PASSWORD_RECOVERY;Send the password to the username email
HELP_WIKI;Shows wiki about the game. To get more information use "wiki"
HELP_INV;Shows your inventory
HELP_SELL;Used for dropping items
HELP_BUY;Used for acquire items
HELP_CHAT;Use "chat add <username>" to add chat with player. Use "chat remove <username>" to remove chat with player
HELP_EQUIP;"Use ""equip <item_name>"" where ""item name"" type is armor, weapon or heal to equip your person"
HELP_BATTLE_HEAL;You heal yourself with medkit in equipment slot
HELP_BATTLE_ENTER;You enter battle by given id
HELP_BATTLE_ESCAPE;You try to escape battle. 50% chance
HELP_BATTLE_ATTACK;"You attack your enemy with given weapon. Weapons: melee, range"
HELP_BATTLE_PASS;You skip your turn and refil some energy
HELP_BATTLE_CREATE;"Creates new lobby with given type. Types: pvp, pve"
;
;
LOGIN_NO_NAME;No username provided
LOGIN_NO_PASSWORD;No password provided
LOGIN_INCORRECT_PASSWORD;The name "{}" is busy or the password is incorrect
LOGIN_INCORRECT_TYPE;"Incorrect login. Use also lowercase English letters, numbers, symbols ""_"" and ""-"""
LOGIN_SUCCESS;You successfully logged to "{}"
LOGIN_NEW_ACC_SUCCESS;You successfully created new account with name "{}". Don't lose your password!
LOGIN_INCORRECT_NAME;"This name can't be used. Please, enter other name"
;
LANG_NO_LANG;No language provided~nAll available languages: {}
LANG_INCORRECT;Incorrect language "{}"~nView all languages using "lang"
LANG_SUCCESS;Successfully changed account language to "{}"
;
STATUS_NO_USER;Expected username
STATUS_NO_USER_IN_BD;The "{}" does not exist
;
EMAIL_NO_FOUND;Exepected email
EMAIL_NO_LOGGED;You are not registered
